engine,symbol,tf,profile,n_trades_batch,max_dd_%_batch,total_return_%_batch,win_rate_%_batch,profit_factor_batch,n_trades_causal,max_dd_%_causal,total_return_%_causal,win_rate_%_causal,profit_factor_causal,gate,stop
v6,SOLUSDT,D1,FAIBLE,16,-2.5,-2.0,31.2,0.27,19,-2.5,4.2,47.4,2.56,sans_regime,
v6,SOLUSDT,D1,MODERE,13,-3.3,-2.4,38.5,0.39,16,-3.3,8.5,56.2,3.12,avec_regime,
v6,SOLUSDT,D1,MODERE,16,-4.8,-3.9,31.2,0.27,19,-3.7,7.3,47.4,2.46,sans_regime,
v6,SOLUSDT,D1,AGRESSIF,13,-4.6,-3.2,38.5,0.41,16,-6.4,13.3,56.2,3.49,avec_regime,
v6,SOLUSDT,D1,AGRESSIF,16,-6.9,-5.5,31.2,0.28,19,-6.4,11.5,47.4,2.68,sans_regime,
v6,SOLUSDT,D1,TRES_AGRESSIF,13,-6.7,-4.5,38.5,0.44,16,-10.2,29.2,56.2,4.73,avec_regime,
v6,SOLUSDT,D1,TRES_AGRESSIF,16,-9.9,-7.8,31.2,0.3,19,-10.2,26.3,47.4,3.63,sans_regime,
v7,BTCUSDT,,FAIBLE,520,-7.0,54.9,54.0,2.6,504,-9.1,23.1,42.7,1.6,H4_valide_par_D1,H4_meme_UT
v7,BTCUSDT,,FAIBLE,1498,-9.5,179.8,46.3,1.91,1402,-14.8,81.8,39.4,1.52,H4_seul (=v6),H4_meme_UT
v7,BTCUSDT,,FAIBLE,499,-2.6,25.7,54.7,3.45,505,-3.1,15.5,42.4,2.02,H4_valide_par_D1,D1_reel
v7,BTCUSDT,,MODERE,520,-11.1,149.5,53.8,2.9,504,-13.4,61.0,42.7,1.77,H4_valide_par_D1,H4_meme_UT
v7,BTCUSDT,,MODERE,1498,-16.7,588.1,45.7,2.07,1402,-26.5,236.7,38.7,1.63,H4_seul (=v6),H4_meme_UT
v7,BTCUSDT,,MODERE,499,-5.5,59.6,54.7,3.52,505,-6.3,33.7,42.4,2.04,H4_valide_par_D1,D1_reel
v7,BTCUSDT,,AGRESSIF,520,-12.9,253.7,53.8,3.13,504,-14.7,115.8,42.7,2.01,H4_valide_par_D1,H4_meme_UT
v7,BTCUSDT,,AGRESSIF,1498,-24.2,1055.9,45.7,2.14,1402,-35.8,354.8,38.7,1.65,H4_seul (=v6),H4_meme_UT
v7,BTCUSDT,,AGRESSIF,499,-7.1,103.2,54.7,3.6,505,-8.4,55.8,42.4,2.08,H4_valide_par_D1,D1_reel
v7,BTCUSDT,,TRES_AGRESSIF,520,-18.8,347.6,53.5,3.26,504,-22.4,157.1,42.3,2.09,H4_valide_par_D1,H4_meme_UT
v7,BTCUSDT,,TRES_AGRESSIF,1498,-24.5,1646.8,45.1,2.25,1402,-41.8,437.3,37.9,1.67,H4_seul (=v6),H4_meme_UT
v7,BTCUSDT,,TRES_AGRESSIF,499,-15.4,184.3,54.1,3.56,505,-17.3,92.0,42.0,2.06,H4_valide_par_D1,D1_reel
v7,ETHUSDT,,FAIBLE,458,-4.3,70.7,59.0,3.18,417,-6.1,55.2,45.6,2.4,H4_valide_par_D1,H4_meme_UT
v7,ETHUSDT,,FAIBLE,1365,-12.3,247.9,46.0,2.09,1363,-12.6,88.2,37.1,1.49,H4_seul (=v6),H4_meme_UT
v7,ETHUSDT,,FAIBLE,459,-2.2,25.3,58.6,3.01,418,-2.8,20.9,45.0,2.41,H4_valide_par_D1,D1_reel
v7,ETHUSDT,,MODERE,458,-8.9,165.2,58.7,3.02,417,-11.7,139.0,45.3,2.44,H4_valide_par_D1,H4_meme_UT
v7,ETHUSDT,,MODERE,1365,-20.3,850.8,45.4,2.14,1363,-24.4,211.9,36.3,1.51,H4_seul (=v6),H4_meme_UT
v7,ETHUSDT,,MODERE,459,-4.3,66.7,58.6,3.36,418,-5.2,56.4,45.0,2.64,H4_valide_par_D1,D1_reel
v7,ETHUSDT,,AGRESSIF,458,-11.1,272.6,58.7,3.01,417,-16.6,249.4,45.3,2.5,H4_valide_par_D1,H4_meme_UT
v7,ETHUSDT,,AGRESSIF,1365,-22.4,2215.3,45.4,2.25,1363,-32.1,417.5,36.3,1.57,H4_seul (=v6),H4_meme_UT
v7,ETHUSDT,,AGRESSIF,459,-5.7,125.2,58.6,3.51,418,-8.4,109.9,45.0,2.78,H4_valide_par_D1,D1_reel
v7,ETHUSDT,,TRES_AGRESSIF,458,-30.7,393.1,57.9,2.99,417,-33.6,355.4,43.6,2.47,H4_valide_par_D1,H4_meme_UT
v7,ETHUSDT,,TRES_AGRESSIF,1365,-34.6,3183.4,44.0,2.24,1363,-38.5,552.8,35.1,1.59,H4_seul (=v6),H4_meme_UT
v7,ETHUSDT,,TRES_AGRESSIF,459,-16.9,250.4,57.7,3.5,418,-18.3,220.6,43.3,2.79,H4_valide_par_D1,D1_reel
v7,BNBUSDT,,FAIBLE,499,-6.0,49.4,51.5,2.12,544,-12.6,17.0,42.1,1.41,H4_valide_par_D1,H4_meme_UT
v7,BNBUSDT,,FAIBLE,1209,-8.0,134.7,47.4,1.89,1399,-17.2,46.3,41.2,1.37,H4_seul (=v6),H4_meme_UT
v7,BNBUSDT,,FAIBLE,498,-3.2,18.7,50.6,2.04,543,-5.6,7.0,41.8,1.4,H4_valide_par_D1,D1_reel
v7,BNBUSDT,,MODERE,499,-13.2,113.5,50.7,2.1,544,-20.1,26.6,41.4,1.35,H4_valide_par_D1,H4_meme_UT
v7,BNBUSDT,,MODERE,1209,-16.5,288.6,46.5,1.82,1399,-25.4,79.9,40.3,1.34,H4_seul (=v6),H4_meme_UT
