symbol,profile,year,n_bars,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
ETHUSDT,AGRESSIF,2022,2190,9.0,14,0,25,0,True,True,4944,2022-04-04T00:00:00.000000,9.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,AGRESSIF,2023,2190,10.0,33,1,40,8,True,True,7192,2023-04-13T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2024,2196,10.0,65,3,51,4,True,True,9685,2024-06-02T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2025,2190,10.0,32,0,16,6,True,True,12142,2025-07-16T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2026,1087,1.0,0,0,3,0,False,False,13461,2026-02-21T12:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
ETHUSDT,TRES_AGRESSIF,2020,2196,16.0,50,2,78,2,True,True,1909,2020-11-14T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2021,2190,16.0,102,2,57,18,True,True,2212,2021-01-03T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2022,2190,15.0,14,0,25,0,True,True,4944,2022-04-04T00:00:00.000000,15.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,TRES_AGRESSIF,2023,2190,16.0,34,1,40,8,True,True,7192,2023-04-13T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2024,2196,16.0,68,3,51,4,True,True,9097,2024-02-25T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2025,2190,16.0,35,0,16,6,True,True,12142,2025-07-16T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
