symbol,profile,year,n_bars,d1_channel_coverage_%,ema_atr_d1_n_trades,ema_atr_d1_max_dd_%,ema_atr_d1_total_return_%,ema_atr_d1_win_rate_%,ema_atr_d1_profit_factor,manual_channel_d1_n_trades,manual_channel_d1_max_dd_%,manual_channel_d1_total_return_%,manual_channel_d1_win_rate_%,manual_channel_d1_profit_factor
BNBUSDT,AGRESSIF,2020,1954,97.77,45,-4.8,3.1,37.8,1.64,54,-8.5,8.7,27.8,2.13
BNBUSDT,AGRESSIF,2021,2190,97.77,85,-4.9,10.4,49.4,2.56,109,-10.4,15.0,40.4,1.7
BNBUSDT,AGRESSIF,2022,2190,97.77,3,-0.5,0.3,66.7,1.67,3,-0.6,0.4,66.7,1.71
BNBUSDT,AGRESSIF,2023,2190,97.77,26,-4.5,-4.4,34.6,0.27,34,-5.1,-4.2,20.6,0.32
BNBUSDT,AGRESSIF,2024,2196,97.77,131,-9.3,2.1,35.9,1.29,163,-23.2,-9.2,23.9,0.85
BNBUSDT,AGRESSIF,2025,2190,97.77,70,-4.0,21.8,52.9,4.46,122,-5.9,37.4,29.5,5.27
BNBUSDT,AGRESSIF,2026,1087,97.77,0,0.0,0.0,,,0,0.0,0.0,,
BNBUSDT,TRES_AGRESSIF,2020,1954,97.77,46,-7.8,6.7,37.0,1.81,55,-12.5,20.4,27.3,2.87
BNBUSDT,TRES_AGRESSIF,2021,2190,97.77,87,-8.1,19.1,48.3,2.66,111,-14.4,36.0,39.6,2.17
BNBUSDT,TRES_AGRESSIF,2022,2190,97.77,3,-0.8,0.4,66.7,1.67,3,-1.0,0.6,66.7,1.71
BNBUSDT,TRES_AGRESSIF,2023,2190,97.77,26,-6.3,-6.1,34.6,0.26,34,-5.1,-4.1,20.6,0.36
BNBUSDT,TRES_AGRESSIF,2024,2196,97.77,134,-14.6,5.9,35.1,1.42,166,-24.6,-8.3,23.5,0.9
BNBUSDT,TRES_AGRESSIF,2025,2190,97.77,76,-5.9,46.3,48.7,5.1,127,-7.2,49.0,28.3,5.32
BNBUSDT,TRES_AGRESSIF,2026,1087,97.77,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,FAIBLE,2020,653,99.53,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,FAIBLE,2021,2190,99.53,37,-0.6,1.3,45.9,2.04,47,-3.9,26.7,34.0,17.76
