symbol,profile,year,n_bars,max_risk_total_pct,n_range_trades,n_trend_trades,n_div_a_trades,n_div_b_trades,exceeds_5pct_global_cap,exceeds_2pct_diversification_cap,max_bar_index,max_date,max_risk_range_pct,max_risk_trend_pct,max_risk_div_a_pct,max_risk_div_b_pct,max_n_range_tranches_open,max_n_range_reverses_open,max_trend_campaign_open,max_trend_reverse_open,max_pattern_a_open,max_pattern_b_open,max_n_systems_open
ETHUSDT,AGRESSIF,2022,2190,9.0,14,0,25,0,True,True,5153,2022-04-04T00:00:00.000000,9.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,AGRESSIF,2023,2190,10.0,19,1,40,8,True,True,7401,2023-04-13T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2024,2196,10.0,65,3,51,4,True,True,9894,2024-06-02T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2025,2190,10.0,28,0,16,6,True,True,12351,2025-07-16T16:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,AGRESSIF,2026,1522,7.0,3,0,17,0,True,True,14859,2026-09-07T16:00:00.000000,6.0,0.0,1.0,0.0,2,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2019,209,0.0,0,0,0,0,False,False,1,2019-11-27T08:00:00.000000,0.0,0.0,0.0,0.0,0,0,False,False,False,False,0
ETHUSDT,TRES_AGRESSIF,2020,2196,16.0,60,2,85,4,True,True,2160,2020-11-21T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2021,2190,16.0,98,2,57,18,True,True,2421,2021-01-03T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2022,2190,15.0,14,0,25,0,True,True,5153,2022-04-04T00:00:00.000000,15.0,0.0,0.0,0.0,3,0,False,False,False,False,1
ETHUSDT,TRES_AGRESSIF,2023,2190,16.0,20,1,40,8,True,True,7401,2023-04-13T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2024,2196,16.0,68,3,51,4,True,True,9306,2024-02-25T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2025,2190,16.0,31,0,16,6,True,True,12351,2025-07-16T16:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
ETHUSDT,TRES_AGRESSIF,2026,1522,11.0,3,0,17,0,True,True,14859,2026-09-07T16:00:00.000000,10.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,FAIBLE,2020,1954,5.0,14,1,61,3,False,True,1118,2020-08-14T16:00:00.000000,0.0,5.0,0.0,0.0,0,0,True,False,False,False,1
BNBUSDT,FAIBLE,2021,2190,4.0,82,0,69,18,False,True,2146,2021-02-02T00:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,FAIBLE,2022,2190,2.0,3,0,38,0,False,False,6008,2022-11-07T16:00:00.000000,1.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,FAIBLE,2023,2190,3.0,26,0,53,4,False,True,8484,2023-12-25T08:00:00.000000,2.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,FAIBLE,2024,2196,7.0,114,1,66,13,True,True,9198,2024-04-22T08:00:00.000000,1.0,5.0,1.0,0.0,1,0,True,False,True,False,3
BNBUSDT,FAIBLE,2025,2190,4.0,56,0,29,9,False,True,12365,2025-10-02T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,FAIBLE,2026,1522,1.0,0,0,26,0,False,False,13703,2026-05-13T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
BNBUSDT,MODERE,2020,1954,6.0,14,3,61,3,True,True,1563,2020-10-27T20:00:00.000000,6.0,0.0,0.0,0.0,3,0,False,False,False,False,1
BNBUSDT,MODERE,2021,2190,7.0,82,3,69,18,True,True,2146,2021-02-02T00:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,MODERE,2022,2190,3.0,3,1,38,0,False,True,6008,2022-11-07T16:00:00.000000,2.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,MODERE,2023,2190,5.0,26,0,53,4,False,True,8484,2023-12-25T08:00:00.000000,4.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,MODERE,2024,2196,6.0,114,8,66,13,True,True,8791,2024-02-14T12:00:00.000000,6.0,0.0,0.0,0.0,3,0,False,False,True,False,2
BNBUSDT,MODERE,2025,2190,7.0,56,0,29,9,True,True,12365,2025-10-02T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,MODERE,2026,1522,1.2752,0,1,26,0,False,False,13019,2026-01-19T04:00:00.000000,0.0,0.5252,0.75,0.0,0,0,True,False,True,False,2
BNBUSDT,AGRESSIF,2020,1954,9.0,14,3,61,3,True,True,1563,2020-10-27T20:00:00.000000,9.0,0.0,0.0,0.0,3,0,False,False,False,False,1
BNBUSDT,AGRESSIF,2021,2190,10.0,82,3,69,18,True,True,2146,2021-02-02T00:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2022,2190,4.0,3,1,38,0,False,True,6008,2022-11-07T16:00:00.000000,3.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2023,2190,7.0,26,0,53,4,True,True,8484,2023-12-25T08:00:00.000000,6.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2024,2196,10.0,114,8,66,13,True,True,8795,2024-02-15T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2025,2190,10.0,56,0,29,9,True,True,11567,2025-05-22T04:00:00.000000,9.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,AGRESSIF,2026,1522,2.0505,0,1,26,0,False,True,13019,2026-01-19T04:00:00.000000,0.0,1.0505,1.0,0.0,0,0,True,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2020,1954,15.0,14,3,61,3,True,True,1563,2020-10-27T20:00:00.000000,15.0,0.0,0.0,0.0,3,0,False,False,False,False,1
BNBUSDT,TRES_AGRESSIF,2021,2190,16.0,84,3,69,18,True,True,2146,2021-02-02T00:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2022,2190,6.0,3,1,38,0,True,True,6008,2022-11-07T16:00:00.000000,5.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2023,2190,11.0,26,0,53,4,True,True,8484,2023-12-25T08:00:00.000000,10.0,0.0,1.0,0.0,2,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2024,2196,16.0,117,8,66,13,True,True,8860,2024-02-26T00:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2025,2190,16.0,62,0,29,9,True,True,12365,2025-10-02T04:00:00.000000,15.0,0.0,1.0,0.0,3,0,False,False,True,False,2
BNBUSDT,TRES_AGRESSIF,2026,1522,3.101,0,1,26,0,False,True,13019,2026-01-19T04:00:00.000000,0.0,2.101,1.0,0.0,0,0,True,False,True,False,2
SOLUSDT,FAIBLE,2020,653,1.0,0,0,5,0,False,False,384,2020-11-17T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,FAIBLE,2021,2190,2.5,35,0,57,12,False,True,2046,2021-08-21T04:00:00.000000,1.5,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,FAIBLE,2022,2190,1.0,0,0,9,0,False,False,3387,2022-04-01T16:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,FAIBLE,2023,2190,6.0,32,1,42,4,True,True,6788,2023-10-20T12:00:00.000000,0.0,5.0,1.0,0.0,0,0,True,False,True,False,2
SOLUSDT,FAIBLE,2024,2196,4.0,74,0,35,21,False,True,9006,2024-10-24T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,FAIBLE,2025,2190,4.0,44,0,44,11,False,True,10944,2025-09-12T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,FAIBLE,2026,1522,1.0,0,0,10,0,False,False,11988,2026-03-05T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,MODERE,2020,653,1.0,0,0,5,0,False,False,384,2020-11-17T04:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,MODERE,2021,2190,4.0,35,1,57,12,False,True,2046,2021-08-21T04:00:00.000000,3.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,MODERE,2022,2190,1.0,0,0,9,0,False,False,3387,2022-04-01T16:00:00.000000,0.0,0.0,1.0,0.0,0,0,False,False,True,False,1
SOLUSDT,MODERE,2023,2190,7.0,32,2,42,4,True,True,7070,2023-12-06T12:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,MODERE,2024,2196,7.0,74,4,35,21,True,True,9006,2024-10-24T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
SOLUSDT,MODERE,2025,2190,7.0,44,1,44,11,True,True,10944,2025-09-12T04:00:00.000000,6.0,0.0,1.0,0.0,3,0,False,False,True,False,2
