symbol,profile,space_gate,n_trades,final_equity,max_dd_%,total_return_%,win_rate_%,profit_factor,avg_trade_%,time_ACCUMULATION_%,time_POST_BREAKOUT_%,time_PULLBACK_WATCH_%,time_EXCESS_WATCH_%
BNBUSDT,MODERE,on_x1.0,16,0.9190665389121896,-8.1,-8.1,0.0,0.0,-0.505,0.2,0.0,0.0,0.0
BNBUSDT,MODERE,on_x1.5,16,0.9190665389121896,-8.1,-8.1,0.0,0.0,-0.505,0.2,0.0,0.0,0.0
BNBUSDT,AGRESSIF,off,16,0.8440525797954778,-15.6,-15.6,0.0,0.0,-1.01,0.2,0.0,0.0,0.0
BNBUSDT,AGRESSIF,on_x0.5,16,0.8440525797954778,-15.6,-15.6,0.0,0.0,-1.01,0.2,0.0,0.0,0.0
BNBUSDT,AGRESSIF,on_x1.0,16,0.8440525797954778,-15.6,-15.6,0.0,0.0,-1.01,0.2,0.0,0.0,0.0
BNBUSDT,AGRESSIF,on_x1.5,16,0.8440525797954778,-15.6,-15.6,0.0,0.0,-1.01,0.2,0.0,0.0,0.0
BNBUSDT,TRES_AGRESSIF,off,16,0.7256860400850544,-27.4,-27.4,0.0,0.0,-1.896,0.2,0.0,0.0,0.0
BNBUSDT,TRES_AGRESSIF,on_x0.5,16,0.7256860400850544,-27.4,-27.4,0.0,0.0,-1.896,0.2,0.0,0.0,0.0
BNBUSDT,TRES_AGRESSIF,on_x1.0,16,0.7256860400850544,-27.4,-27.4,0.0,0.0,-1.896,0.2,0.0,0.0,0.0
BNBUSDT,TRES_AGRESSIF,on_x1.5,16,0.7256860400850544,-27.4,-27.4,0.0,0.0,-1.896,0.2,0.0,0.0,0.0
SOLUSDT,FAIBLE,off,3,1.0105247220767986,-4.7,1.1,33.3,1.39,0.498,2.7,0.0,0.1,0.0
SOLUSDT,FAIBLE,on_x0.5,2,0.9988525038691826,-0.2,-0.1,50.0,0.03,-0.007,3.5,0.0,0.0,0.0
SOLUSDT,FAIBLE,on_x1.0,1,0.9998022169035792,-0.0,-0.0,100.0,,0.0,4.4,0.0,0.0,0.0
SOLUSDT,FAIBLE,on_x1.5,0,1.0,0.0,0.0,,,,4.4,0.0,0.0,0.0
SOLUSDT,MODERE,off,8,0.9493102624719367,-5.3,-5.1,0.0,0.0,-0.627,0.3,0.0,0.0,0.0
SOLUSDT,MODERE,on_x0.5,8,0.9493102624719367,-5.3,-5.1,0.0,0.0,-0.627,0.3,0.0,0.0,0.0
SOLUSDT,MODERE,on_x1.0,8,0.9493102624719367,-5.3,-5.1,0.0,0.0,-0.627,0.3,0.0,0.0,0.0
SOLUSDT,MODERE,on_x1.5,8,0.9493102624719367,-5.3,-5.1,0.0,0.0,-0.627,0.3,0.0,0.0,0.0
SOLUSDT,AGRESSIF,off,8,0.9006581468071574,-10.4,-9.9,0.0,0.0,-1.253,0.3,0.0,0.0,0.0
SOLUSDT,AGRESSIF,on_x0.5,8,0.9006581468071574,-10.4,-9.9,0.0,0.0,-1.253,0.3,0.0,0.0,0.0
SOLUSDT,AGRESSIF,on_x1.0,8,0.9006581468071574,-10.4,-9.9,0.0,0.0,-1.253,0.3,0.0,0.0,0.0
SOLUSDT,AGRESSIF,on_x1.5,8,0.9006581468071574,-10.4,-9.9,0.0,0.0,-1.253,0.3,0.0,0.0,0.0
SOLUSDT,TRES_AGRESSIF,off,8,0.8314575194987193,-17.7,-16.9,0.0,0.0,-2.192,0.3,0.0,0.0,0.0
SOLUSDT,TRES_AGRESSIF,on_x0.5,8,0.8314575194987193,-17.7,-16.9,0.0,0.0,-2.192,0.3,0.0,0.0,0.0
SOLUSDT,TRES_AGRESSIF,on_x1.0,8,0.8314575194987193,-17.7,-16.9,0.0,0.0,-2.192,0.3,0.0,0.0,0.0
SOLUSDT,TRES_AGRESSIF,on_x1.5,8,0.8314575194987193,-17.7,-16.9,0.0,0.0,-2.192,0.3,0.0,0.0,0.0
