symbol,profile,year,n_bars,d1_channel_coverage_%,ema_atr_d1_n_trades,ema_atr_d1_max_dd_%,ema_atr_d1_total_return_%,ema_atr_d1_win_rate_%,ema_atr_d1_profit_factor,manual_channel_d1_n_trades,manual_channel_d1_max_dd_%,manual_channel_d1_total_return_%,manual_channel_d1_win_rate_%,manual_channel_d1_profit_factor
SOLUSDT,AGRESSIF,2021,2190,99.54,28,-1.7,5.6,50.0,2.78,38,-4.5,39.4,34.2,28.39
SOLUSDT,AGRESSIF,2022,2190,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,AGRESSIF,2023,2190,99.54,32,-4.1,25.1,62.5,24.42,38,-13.1,122.5,47.4,28.93
SOLUSDT,AGRESSIF,2024,2196,99.54,61,-6.5,-2.8,42.6,0.74,70,-12.4,-3.2,34.3,0.86
SOLUSDT,AGRESSIF,2025,2190,99.54,38,-2.1,3.2,36.8,2.24,39,-3.9,7.4,33.3,2.36
SOLUSDT,AGRESSIF,2026,1522,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,TRES_AGRESSIF,2020,653,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,TRES_AGRESSIF,2021,2190,99.54,29,-2.8,10.8,48.3,3.06,39,-6.8,50.9,33.3,25.27
SOLUSDT,TRES_AGRESSIF,2022,2190,99.54,0,0.0,0.0,,,0,0.0,0.0,,
SOLUSDT,TRES_AGRESSIF,2023,2190,99.54,38,-6.7,54.0,52.6,25.12,44,-15.9,191.7,40.9,24.93
SOLUSDT,TRES_AGRESSIF,2024,2196,99.54,61,-14.1,-9.2,39.3,0.42,70,-16.5,-8.5,31.4,0.6
SOLUSDT,TRES_AGRESSIF,2025,2190,99.54,38,-3.4,5.5,36.8,2.3,39,-5.9,7.9,33.3,2.16
SOLUSDT,TRES_AGRESSIF,2026,1522,99.54,0,0.0,0.0,,,0,0.0,0.0,,
