asset,profile,entry,val_px,conf_px_h4,conf_px_ut2,val_i,conf_h4_i,conf_ut2_i
BTCUSDT,FAIBLE,29164.9,30780.7,31984.9,82920.4,,,
BTCUSDT,FAIBLE,29623.1,31778.899999999998,32983.1,83378.6,,,
BTCUSDT,FAIBLE,30105.7,32912.5,34116.7,83861.2,,,
BTCUSDT,FAIBLE,29948.0,32749.2,33791.7,83703.5,,,
BTCUSDT,FAIBLE,29874.9,32676.100000000002,33272.9,83630.4,,,
BTCUSDT,FAIBLE,30149.1,32950.3,33547.1,83904.6,,,
BTCUSDT,FAIBLE,30422.6,33308.7,33905.5,84178.1,,,
BTCUSDT,FAIBLE,30684.5,33871.7,34468.5,84440.0,,,
BTCUSDT,FAIBLE,30739.9,34036.100000000006,34632.9,84495.4,,,
BTCUSDT,FAIBLE,30416.6,33322.0,34309.6,84172.1,,,
BTCUSDT,FAIBLE,30318.9,32319.9,34211.9,84074.4,,,
BTCUSDT,FAIBLE,30249.0,31688.0,34142.0,84004.5,,,
BTCUSDT,FAIBLE,30220.1,31659.1,34113.1,83975.6,,,
BTCUSDT,FAIBLE,28286.7,29747.300000000003,32426.4,82042.2,7956.0,,
BTCUSDT,FAIBLE,29803.1,32932.0,33942.8,83558.6,,,
BTCUSDT,FAIBLE,30748.0,32548.0,36017.1,84503.5,,,
BTCUSDT,FAIBLE,31068.0,32868.0,36337.1,84823.5,,,
BTCUSDT,FAIBLE,31254.0,33149.2,36523.1,85009.5,,,
BTCUSDT,FAIBLE,30488.4,31733.7,33752.0,84243.9,,,
BTCUSDT,FAIBLE,30765.4,31876.600000000002,32833.4,84520.9,,,
BTCUSDT,FAIBLE,30510.1,31621.3,32578.1,84265.6,,,
BTCUSDT,FAIBLE,30723.9,33465.9,35016.9,63480.7,,,
BTCUSDT,FAIBLE,30508.0,33422.0,34973.0,63264.8,,,
BTCUSDT,FAIBLE,34571.6,36375.9,43780.4,67328.4,,,
BTCUSDT,FAIBLE,34627.8,36432.100000000006,43819.3,67384.6,,,
BTCUSDT,FAIBLE,34664.5,36468.8,43766.4,67421.3,,,
BTCUSDT,FAIBLE,34151.9,35690.1,42506.4,66908.7,,,
BTCUSDT,FAIBLE,34504.1,36042.299999999996,42791.0,67260.9,,,
BTCUSDT,FAIBLE,34553.6,36091.799999999996,42480.5,67310.4,,,
BTCUSDT,FAIBLE,35437.5,37304.1,43343.4,68194.3,,,
BTCUSDT,FAIBLE,35577.9,37647.8,43501.8,68334.7,,,
BTCUSDT,FAIBLE,35253.1,37177.0,41555.0,68009.9,,,
BTCUSDT,FAIBLE,34947.3,36311.3,40614.200000000004,67704.1,,,
BTCUSDT,FAIBLE,35473.5,36959.9,40171.2,68230.3,9138.0,9284.0,
BTCUSDT,FAIBLE,35406.5,37205.2,38572.9,68163.3,,,
BTCUSDT,FAIBLE,35626.7,37420.7,38426.7,68383.5,,,
